municipio,partido,votos,porcentaje
CASTELLI,PARTIDO TIEMPO DE TODOS,3.0,0.05
CASTELLI,ES CON VOS ES CON NOSOTROS,0.0,0.0
CASTELLI,PARTIDO LIBERTARIO,0.0,0.0
CHACABUCO,FUERZA PATRIA,14198.0,49.56
CHACABUCO,LA LIBERTAD AVANZA,6982.0,24.37
CHACABUCO,SOMOS BUENOS AIRES,5412.0,18.89
CHACABUCO,POTENCIA,840.0,2.93
CHACABUCO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,478.0,1.66
CHACABUCO,MOVIMIENTO AVANZADA SOCIALISTA,163.0,0.56
CHACABUCO,UNION Y LIBERTAD,132.0,0.46
CHACABUCO,NUEVOS AIRES,111.0,0.38
CHACABUCO,VALORES REPUBLICANOS,65.0,0.22
CHACABUCO,POLITICA OBRERA,54.0,0.18
CHACABUCO,ES CON VOS ES CON NOSOTROS,50.0,0.17
CHACABUCO,CONSTRUYENDO PORVENIR,49.0,0.17
CHACABUCO,FRENTE PATRIOTA FEDERAL,32.0,0.11
CHACABUCO,UNION LIBERAL,32.0,0.11
CHACABUCO,PARTIDO TIEMPO DE TODOS,26.0,0.09
CHACABUCO,PARTIDO LIBERTARIO,23.0,0.08
CHASCOMUS,FUERZA PATRIA,6793.0,32.61
CHASCOMUS,LA LIBERTAD AVANZA,6158.0,29.56
CHASCOMUS,SOMOS BUENOS AIRES,3939.0,18.91
CHASCOMUS,POTENCIA,2975.0,14.28
CHASCOMUS,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,438.0,2.1
CHASCOMUS,UNION Y LIBERTAD,243.0,1.16
CHASCOMUS,POLITICA OBRERA,75.0,0.36
CHASCOMUS,VALORES REPUBLICANOS,56.0,0.26
CHASCOMUS,MOVIMIENTO AVANZADA SOCIALISTA,53.0,0.25
CHASCOMUS,CONSTRUYENDO PORVENIR,33.0,0.15
CHASCOMUS,PARTIDO TIEMPO DE TODOS,26.0,0.12
CHASCOMUS,FRENTE PATRIOTA FEDERAL,23.0,0.11
CHASCOMUS,UNION LIBERAL,13.0,0.06
CHASCOMUS,PARTIDO LIBERTARIO,1.0,0.01
CHASCOMUS,ES CON VOS ES CON NOSOTROS,0.0,0.0
CHIVILCOY,FUERZA PATRIA,14443.0,42.05
CHIVILCOY,LA LIBERTAD AVANZA,10296.0,29.97
CHIVILCOY,SOMOS BUENOS AIRES,5304.0,15.44
CHIVILCOY,ES CON VOS ES CON NOSOTROS,1025.0,2.98
CHIVILCOY,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,924.0,2.69
CHIVILCOY,POTENCIA,717.0,2.08
CHIVILCOY,UNION LIBERAL,411.0,1.19
CHIVILCOY,NUEVOS AIRES,280.0,0.81
CHIVILCOY,UNION Y LIBERTAD,225.0,0.65
CHIVILCOY,VALORES REPUBLICANOS,166.0,0.48
CHIVILCOY,MOVIMIENTO AVANZADA SOCIALISTA,150.0,0.43
CHIVILCOY,CONSTRUYENDO PORVENIR,112.0,0.32
CHIVILCOY,POLITICA OBRERA,85.0,0.24
CHIVILCOY,PARTIDO LIBERTARIO,83.0,0.24
CHIVILCOY,FRENTE PATRIOTA FEDERAL,73.0,0.21
CHIVILCOY,PARTIDO TIEMPO DE TODOS,51.0,0.14
DOLORES,FUERZA PATRIA,9948.0,54.88
DOLORES,LA LIBERTAD AVANZA,4207.0,23.21
DOLORES,SOMOS BUENOS AIRES,3612.0,19.92
DOLORES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,95.0,0.52
DOLORES,UNION Y LIBERTAD,64.0,0.35
DOLORES,POTENCIA,53.0,0.29
DOLORES,VALORES REPUBLICANOS,33.0,0.18
DOLORES,MOVIMIENTO AVANZADA SOCIALISTA,32.0,0.17
DOLORES,POLITICA OBRERA,23.0,0.12
DOLORES,FRENTE PATRIOTA FEDERAL,20.0,0.11
DOLORES,CONSTRUYENDO PORVENIR,18.0,0.09
DOLORES,PARTIDO TIEMPO DE TODOS,15.0,0.08
DOLORES,UNION LIBERAL,3.0,0.01
DOLORES,PARTIDO LIBERTARIO,2.0,0.01
DOLORES,ES CON VOS ES CON NOSOTROS,0.0,0.0
ESCOBAR,FUERZA PATRIA,63935.0,50.26
ESCOBAR,LA LIBERTAD AVANZA,44708.0,35.15
ESCOBAR,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,4481.0,3.52
ESCOBAR,SOMOS BUENOS AIRES,3840.0,3.01
ESCOBAR,UNION Y LIBERTAD,2339.0,1.83
ESCOBAR,UNION LIBERAL,1914.0,1.5
ESCOBAR,POTENCIA,1714.0,1.34
ESCOBAR,CONSTRUYENDO PORVENIR,748.0,0.58
ESCOBAR,POLITICA OBRERA,741.0,0.58
ESCOBAR,ES CON VOS ES CON NOSOTROS,644.0,0.5
ESCOBAR,MOVIMIENTO AVANZADA SOCIALISTA,586.0,0.46
ESCOBAR,VALORES REPUBLICANOS,579.0,0.45
ESCOBAR,PARTIDO TIEMPO DE TODOS,469.0,0.36
ESCOBAR,FRENTE PATRIOTA FEDERAL,468.0,0.36
ESCOBAR,PARTIDO LIBERTARIO,23.0,0.01
FLORENTINO AMEGHINO,FUERZA PATRIA,2108.0,38.79
FLORENTINO AMEGHINO,SOMOS BUENOS AIRES,1900.0,34.97
FLORENTINO AMEGHINO,LA LIBERTAD AVANZA,1307.0,24.05
FLORENTINO AMEGHINO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,25.0,0.46
FLORENTINO AMEGHINO,POTENCIA,21.0,0.38
FLORENTINO AMEGHINO,UNION Y LIBERTAD,19.0,0.34
FLORENTINO AMEGHINO,ES CON VOS ES CON NOSOTROS,11.0,0.2
FLORENTINO AMEGHINO,NUEVOS AIRES,9.0,0.16
FLORENTINO AMEGHINO,VALORES REPUBLICANOS,8.0,0.14
FLORENTINO AMEGHINO,FRENTE PATRIOTA FEDERAL,5.0,0.09
FLORENTINO AMEGHINO,PARTIDO LIBERTARIO,5.0,0.09
FLORENTINO AMEGHINO,POLITICA OBRERA,5.0,0.09
FLORENTINO AMEGHINO,CONSTRUYENDO PORVENIR,4.0,0.07
FLORENTINO AMEGHINO,MOVIMIENTO AVANZADA SOCIALISTA,3.0,0.05
FLORENTINO AMEGHINO,PARTIDO TIEMPO DE TODOS,3.0,0.05
FLORENTINO AMEGHINO,UNION LIBERAL,0.0,0.0
GENERAL ALVARADO,LA LIBERTAD AVANZA,7616.0,36.13
GENERAL ALVARADO,FUERZA PATRIA,7291.0,34.59
GENERAL ALVARADO,SOMOS BUENOS AIRES,4518.0,21.43
GENERAL ALVARADO,POTENCIA,526.0,2.49
GENERAL ALVARADO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,424.0,2.01
GENERAL ALVARADO,UNION Y LIBERTAD,237.0,1.12
GENERAL ALVARADO,MOVIMIENTO AVANZADA SOCIALISTA,107.0,0.5
GENERAL ALVARADO,POLITICA OBRERA,101.0,0.47
GENERAL ALVARADO,VALORES REPUBLICANOS,81.0,0.38
GENERAL ALVARADO,CONSTRUYENDO PORVENIR,68.0,0.32
GENERAL ALVARADO,FRENTE PATRIOTA FEDERAL,48.0,0.22
GENERAL ALVARADO,PARTIDO TIEMPO DE TODOS,41.0,0.19
GENERAL ALVARADO,ES CON VOS ES CON NOSOTROS,7.0,0.03
GENERAL ALVARADO,UNION LIBERAL,6.0,0.02
GENERAL ALVARADO,PARTIDO LIBERTARIO,3.0,0.01
GENERAL ALVEAR,FUERZA PATRIA,1577.0,36.21
GENERAL ALVEAR,LA LIBERTAD AVANZA,1078.0,24.75
GENERAL ALVEAR,SOMOS BUENOS AIRES,1065.0,24.45
GENERAL ALVEAR,POTENCIA,303.0,6.95
GENERAL ALVEAR,ES CON VOS ES CON NOSOTROS,124.0,2.84
GENERAL ALVEAR,UNION LIBERAL,123.0,2.82
GENERAL ALVEAR,UNION Y LIBERTAD,37.0,0.84
GENERAL ALVEAR,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,23.0,0.52
GENERAL ALVEAR,VALORES REPUBLICANOS,9.0,0.2
GENERAL ALVEAR,PARTIDO TIEMPO DE TODOS,7.0,0.16
GENERAL ALVEAR,CONSTRUYENDO PORVENIR,3.0,0.06
GENERAL ALVEAR,FRENTE PATRIOTA FEDERAL,3.0,0.06
GENERAL ALVEAR,MOVIMIENTO AVANZADA SOCIALISTA,3.0,0.06
GENERAL ALVEAR,PARTIDO LIBERTARIO,0.0,0.0
GENERAL ARENALES,FUERZA PATRIA,3013.0,34.97
GENERAL ARENALES,SOMOS BUENOS AIRES,2777.0,32.23
GENERAL ARENALES,LA LIBERTAD AVANZA,2461.0,28.56
GENERAL ARENALES,ES CON VOS ES CON NOSOTROS,138.0,1.6
GENERAL ARENALES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,46.0,0.53
GENERAL ARENALES,UNION Y LIBERTAD,41.0,0.47
GENERAL ARENALES,NUEVOS AIRES,23.0,0.26
GENERAL ARENALES,POTENCIA,22.0,0.25
GENERAL ARENALES,VALORES REPUBLICANOS,22.0,0.25
GENERAL ARENALES,CONSTRUYENDO PORVENIR,15.0,0.17
GENERAL ARENALES,UNION LIBERAL,14.0,0.16
GENERAL ARENALES,POLITICA OBRERA,13.0,0.15
GENERAL ARENALES,MOVIMIENTO AVANZADA SOCIALISTA,11.0,0.12
GENERAL ARENALES,PARTIDO TIEMPO DE TODOS,10.0,0.11
GENERAL ARENALES,FRENTE PATRIOTA FEDERAL,9.0,0.1
GENERAL ARENALES,PARTIDO LIBERTARIO,0.0,0.0
GENERAL BELGRANO,FUERZA PATRIA,4133.0,40.3
GENERAL BELGRANO,LA LIBERTAD AVANZA,2923.0,28.5
GENERAL BELGRANO,SOMOS BUENOS AIRES,2746.0,26.77
GENERAL BELGRANO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,129.0,1.25
GENERAL BELGRANO,UNION Y LIBERTAD,99.0,0.96
GENERAL BELGRANO,POTENCIA,55.0,0.53
GENERAL BELGRANO,POLITICA OBRERA,44.0,0.42
GENERAL BELGRANO,FRENTE PATRIOTA FEDERAL,29.0,0.28
GENERAL BELGRANO,MOVIMIENTO AVANZADA SOCIALISTA,27.0,0.26
GENERAL BELGRANO,VALORES REPUBLICANOS,27.0,0.26
GENERAL BELGRANO,CONSTRUYENDO PORVENIR,21.0,0.2
GENERAL BELGRANO,PARTIDO TIEMPO DE TODOS,15.0,0.14
GENERAL BELGRANO,UNION LIBERAL,7.0,0.06
GENERAL BELGRANO,ES CON VOS ES CON NOSOTROS,0.0,0.0
GENERAL BELGRANO,PARTIDO LIBERTARIO,0.0,0.0
GENERAL GUIDO,FUERZA PATRIA,929.0,48.51
GENERAL GUIDO,SOMOS BUENOS AIRES,534.0,27.88
GENERAL GUIDO,LA LIBERTAD AVANZA,405.0,21.14
GENERAL GUIDO,UNION Y LIBERTAD,15.0,0.78
GENERAL GUIDO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,11.0,0.57
GENERAL GUIDO,FRENTE PATRIOTA FEDERAL,4.0,0.2
GENERAL GUIDO,POTENCIA,4.0,0.2
GENERAL GUIDO,CONSTRUYENDO PORVENIR,3.0,0.15
GENERAL GUIDO,MOVIMIENTO AVANZADA SOCIALISTA,3.0,0.15
GENERAL GUIDO,PARTIDO TIEMPO DE TODOS,3.0,0.15
GENERAL GUIDO,POLITICA OBRERA,3.0,0.15
GENERAL GUIDO,VALORES REPUBLICANOS,1.0,0.05
GENERAL GUIDO,ES CON VOS ES CON NOSOTROS,0.0,0.0
GENERAL GUIDO,PARTIDO LIBERTARIO,0.0,0.0
GENERAL GUIDO,UNION LIBERAL,0.0,0.0
GENERAL JUAN MADARIAGA,SOMOS BUENOS AIRES,4281.0,39.28
GENERAL JUAN MADARIAGA,FUERZA PATRIA,3146.0,28.87
GENERAL JUAN MADARIAGA,LA LIBERTAD AVANZA,2895.0,26.56
GENERAL JUAN MADARIAGA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,160.0,1.46
GENERAL JUAN MADARIAGA,UNION Y LIBERTAD,106.0,0.97
GENERAL JUAN MADARIAGA,POTENCIA,72.0,0.66
GENERAL JUAN MADARIAGA,POLITICA OBRERA,62.0,0.56
GENERAL JUAN MADARIAGA,MOVIMIENTO AVANZADA SOCIALISTA,52.0,0.47
GENERAL JUAN MADARIAGA,CONSTRUYENDO PORVENIR,35.0,0.32
GENERAL JUAN MADARIAGA,VALORES REPUBLICANOS,31.0,0.28
GENERAL JUAN MADARIAGA,FRENTE PATRIOTA FEDERAL,26.0,0.23
GENERAL JUAN MADARIAGA,PARTIDO TIEMPO DE TODOS,25.0,0.22
GENERAL JUAN MADARIAGA,UNION LIBERAL,4.0,0.03
GENERAL JUAN MADARIAGA,PARTIDO LIBERTARIO,1.0,0.01
GENERAL JUAN MADARIAGA,ES CON VOS ES CON NOSOTROS,0.0,0.0
GENERAL LAS HERAS,FUERZA PATRIA,3520.0,35.92
GENERAL LAS HERAS,LA LIBERTAD AVANZA,2815.0,28.73
GENERAL LAS HERAS,ES CON VOS ES CON NOSOTROS,2204.0,22.49
GENERAL LAS HERAS,SOMOS BUENOS AIRES,868.0,8.85
GENERAL LAS HERAS,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,123.0,1.25
GENERAL LAS HERAS,UNION Y LIBERTAD,78.0,0.79
GENERAL LAS HERAS,POTENCIA,61.0,0.62
GENERAL LAS HERAS,UNION LIBERAL,41.0,0.41
GENERAL LAS HERAS,MOVIMIENTO AVANZADA SOCIALISTA,23.0,0.23
GENERAL LAS HERAS,POLITICA OBRERA,17.0,0.17
GENERAL LAS HERAS,CONSTRUYENDO PORVENIR,15.0,0.15
GENERAL LAS HERAS,VALORES REPUBLICANOS,15.0,0.15
GENERAL LAS HERAS,FRENTE PATRIOTA FEDERAL,11.0,0.11
GENERAL LAS HERAS,PARTIDO TIEMPO DE TODOS,6.0,0.06
GENERAL LAS HERAS,PARTIDO LIBERTARIO,0.0,0.0
GENERAL LAVALLE,FUERZA PATRIA,1118.0,33.37
GENERAL LAVALLE,SOMOS BUENOS AIRES,939.0,28.02
GENERAL LAVALLE,LA LIBERTAD AVANZA,644.0,19.22
GENERAL LAVALLE,POTENCIA,480.0,14.32
GENERAL LAVALLE,FRENTE PATRIOTA FEDERAL,104.0,3.1
GENERAL LAVALLE,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,29.0,0.86
GENERAL LAVALLE,UNION Y LIBERTAD,15.0,0.44
GENERAL LAVALLE,POLITICA OBRERA,6.0,0.17
GENERAL LAVALLE,CONSTRUYENDO PORVENIR,5.0,0.14
GENERAL LAVALLE,MOVIMIENTO AVANZADA SOCIALISTA,5.0,0.14
GENERAL LAVALLE,VALORES REPUBLICANOS,3.0,0.08
GENERAL LAVALLE,PARTIDO TIEMPO DE TODOS,1.0,0.02
GENERAL LAVALLE,UNION LIBERAL,1.0,0.02
GENERAL LAVALLE,ES CON VOS ES CON NOSOTROS,0.0,0.0
GENERAL LAVALLE,PARTIDO LIBERTARIO,0.0,0.0
GENERAL PAZ,FUERZA PATRIA,4336.0,58.49
GENERAL PAZ,LA LIBERTAD AVANZA,2710.0,36.55
GENERAL PAZ,SOMOS BUENOS AIRES,97.0,1.3
GENERAL PAZ,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,77.0,1.03
