municipio,partido,votos,porcentaje
CAPITAN SARMIENTO,VALORES REPUBLICANOS,308.0,3.62
CAPITAN SARMIENTO,PARTIDO LIBERTARIO,210.0,2.47
CAPITAN SARMIENTO,POTENCIA,58.0,0.68
CAPITAN SARMIENTO,UNION Y LIBERTAD,50.0,0.58
CAPITAN SARMIENTO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,47.0,0.55
CAPITAN SARMIENTO,MOVIMIENTO AVANZADA SOCIALISTA,36.0,0.42
CAPITAN SARMIENTO,POLITICA OBRERA,29.0,0.34
CAPITAN SARMIENTO,UNION LIBERAL,26.0,0.3
CAPITAN SARMIENTO,ES CON VOS ES CON NOSOTROS,14.0,0.16
CAPITAN SARMIENTO,FRENTE PATRIOTA FEDERAL,13.0,0.15
CAPITAN SARMIENTO,PARTIDO TIEMPO DE TODOS,6.0,0.07
CAPITAN SARMIENTO,CONSTRUYENDO PORVENIR,3.0,0.03
CARMEN DE ARECO,LA LIBERTAD AVANZA,3462.0,38.99
CARMEN DE ARECO,FUERZA PATRIA,3452.0,38.87
CARMEN DE ARECO,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,1513.0,17.04
CARMEN DE ARECO,PARTIDO LIBERTARIO,166.0,1.86
CARMEN DE ARECO,UNION Y LIBERTAD,60.0,0.67
CARMEN DE ARECO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,50.0,0.56
CARMEN DE ARECO,POTENCIA,29.0,0.32
CARMEN DE ARECO,POLITICA OBRERA,27.0,0.3
CARMEN DE ARECO,MOVIMIENTO AVANZADA SOCIALISTA,25.0,0.28
CARMEN DE ARECO,UNION LIBERAL,24.0,0.27
CARMEN DE ARECO,CONSTRUYENDO PORVENIR,21.0,0.23
CARMEN DE ARECO,ES CON VOS ES CON NOSOTROS,18.0,0.2
CARMEN DE ARECO,FRENTE PATRIOTA FEDERAL,11.0,0.12
CARMEN DE ARECO,VALORES REPUBLICANOS,11.0,0.12
CARMEN DE ARECO,PARTIDO TIEMPO DE TODOS,10.0,0.11
CAÑUELAS,FUERZA PATRIA,14722.0,43.82
CAÑUELAS,LA LIBERTAD AVANZA,10245.0,30.5
CAÑUELAS,SOMOS BUENOS AIRES,2907.0,8.65
CAÑUELAS,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,1675.0,4.98
CAÑUELAS,POTENCIA,1400.0,4.16
CAÑUELAS,NUEVOS AIRES,800.0,2.38
CAÑUELAS,PARTIDO LIBERTARIO,399.0,1.18
CAÑUELAS,UNION LIBERAL,377.0,1.12
CAÑUELAS,UNION Y LIBERTAD,334.0,0.99
CAÑUELAS,FRENTE PATRIOTA FEDERAL,213.0,0.63
CAÑUELAS,MOVIMIENTO AVANZADA SOCIALISTA,149.0,0.44
CAÑUELAS,POLITICA OBRERA,115.0,0.34
CAÑUELAS,VALORES REPUBLICANOS,112.0,0.33
